Month,CMR
Jan-18,
Feb-18,
Mar-18,
Apr-18,1202
May-18,1309
Jun-18,2034
Jul-18,2793
Aug-18,1456
Sep-18,312
Oct-18,497.5
Nov-18,57.5
Dec-18,427.5
Jan-19,379.5
Feb-19,1105
Mar-19,735
Apr-19,1386.5
May-19,1341
Jun-19,2666
Jul-19,2801
Aug-19,4842
Sep-19,4579
Oct-19,5455
Nov-19,4546
Dec-19,6207
Jan-20,3896
Feb-20,3868
Mar-20,2800
Apr-20,3627
May-20,1163.5
Jun-20,912
Jul-20,3557
Aug-20,3678
Sep-20,3988.5
Oct-20,4797
Nov-20,3195
Dec-20,2702
Jan-21,1227.5
Feb-21,2764
Mar-21,2654
Apr-21,2022.5
May-21,2492.5
Jun-21,3049.5
Jul-21,3572
Aug-21,2711.5
Sep-21,4162
Oct-21,3736
Nov-21,3484
Dec-21,3468
Jan-22,2317
Feb-22,2230
Mar-22,2823
Apr-22,2910.5
May-22,3075
Jun-22,3102
Jul-22,3450
Aug-22,3264
Sep-22,3250
Oct-22,3952
Nov-22,3437
Dec-22,4250
Jan-23,2480
Feb-23,2365
Mar-23,2853
Apr-23,1739
May-23,2486
Jun-23,2273
Jul-23,3284
Aug-23,2933.5
Sep-23,3202
Oct-23,1916
Nov-23,3116
Dec-23,2017.5
